pitcher,stand,hr,bbe,barrels,pull_air,air_ev,name,bats,pa,barrel_rate,pull_air_rate,bbe_per_pa,xhr_pa_raw,talent_hr_pa,regression_w
642207,L,2,53,2,12,91.90384615384616,"Reynolds, Bryan",L,91,0.03773584905660377,0.22641509433962265,0.5824175824175825,0.01501098901098901,0.027030538948553146,0.227
642215,L,0,5,0,1,75.15,"Abreu, Wilyer",L,5,0.0,0.2,1.0,0.0036,0.029840719769894407,0.027
642232,L,1,55,1,13,85.62758620689655,"Hicks, Liam",L,79,0.01818181818181818,0.23636363636363636,0.6962025316455697,0.010240506329113924,0.02581174895970949,0.234
642397,L,3,41,3,5,95.1625,"Soto, Juan",L,67,0.07317073170731707,0.12195121951219512,0.6119402985074627,0.027089552238805967,0.029924003616386922,0.186
642528,L,1,71,5,7,93.29666666666667,"Freeman, Freddie",L,95,0.07042253521126761,0.09859154929577464,0.7473684210526316,0.03158947368421053,0.030858110713184908,0.283
642546,L,1,28,1,5,87.44375,"Rengifo, Luis",L,40,0.03571428571428571,0.17857142857142858,0.7,0.016624999999999997,0.028692467103031083,0.135
642547,L,13,225,14,33,92.8591304347826,"Reynolds, Bryan",L,328,0.06222222222222222,0.14666666666666667,0.6859756097560976,0.026353658536585365,0.028227423032499192,0.556
642701,L,5,67,9,18,93.48039215686275,"Benge, Carson",L,102,0.13432835820895522,0.26865671641791045,0.6568627450980392,0.05391176470588235,0.036901301185119764,0.271
642759,L,1,8,1,1,91.4,"Olson, Matt",L,10,0.125,0.125,0.8,0.0593,0.03179219764590673,0.043
643361,L,0,2,0,1,87.9,"Stowers, Kyle",L,2,0.0,0.5,1.0,0.009,0.030332599766101455,0.011
643377,L,9,146,14,21,90.97948717948718,"Burleson, Alec",L,231,0.0958904109589041,0.14383561643835616,0.6320346320346321,0.03648484848484848,0.03321877618471884,0.448
643410,L,0,48,1,11,88.26363636363637,"Giménez, Andrés",L,87,0.020833333333333332,0.22916666666666666,0.5517241379310345,0.008885057471264368,0.02600445577215419,0.211
643511,L,0,81,0,8,89.228,"Cortes, Carlos",L,109,0.0,0.09876543209876543,0.7431192660550459,0.0013211009174311926,0.021492499355334836,0.31
644433,L,0,3,0,1,96.43333333333334,"McGonigle, Kevin",L,4,0.0,0.3333333333333333,0.75,0.0045,0.030142257690876858,0.016
645261,L,11,281,20,40,92.95547945205479,"Rumfield, TJ",L,388,0.0711743772241993,0.1423487544483986,0.7242268041237113,0.03149484536082474,0.031133589379223895,0.61
646241,L,0,47,4,5,94.98181818181818,"Cronenworth, Jake",L,65,0.0851063829787234,0.10638297872340426,0.7230769230769231,0.03676923076923076,0.031853246711825156,0.207
647315,L,0,9,0,0,91.78,"Nimmo, Brandon",L,16,0.0,0.0,0.5625,0.0,0.029113932049896638,0.048
647336,L,4,145,13,30,91.24615384615385,"Carpenter, Kerry",L,203,0.0896551724137931,0.20689655172413793,0.7142857142857143,0.03948275862068965,0.034546255869016815,0.446
